race_name,distance,distance_id,race_type_id
400 м (10-11 лет),0.4,1,3
400 м (12-13 лет),0.4,1,3
400 м (8-9 лет),0.4,1,3
400 м 4-6 лет (мальчики),0.4,1,3
400 м 7-9 лет (девочки),0.4,1,3
400 м 4-6 лет (девочки),0.4,1,3
400 м 7-9 лет (мальчики),0.4,1,3
500м (дети 6-8 лет),0.5,2,3
500 м,0.5,2,3
"0,5 км (с 6 до 7 лет)",0.5,2,3
Забег безграничных возможностей,0.6,3,6
700 м 13-15 лет (девочки),0.7,4,3
700 м 10-12 лет (мальчики),0.7,4,3
700 м 10-12 лет (девочки),0.7,4,3
700 м 13-15 лет (мальчики),0.7,4,3
1км,0.9,5,1
Забег на 1 км (6+),1.0,5,1
1 км (9+),1.0,5,1
1 км.,1.0,5,1
1 км (с 8 до 13 лет),1.0,5,1
1км,1.0,5,1
1 км,1.0,5,1
1км (6+),1.0,5,1
1 км (6-15 лет),1.0,5,1
1 км (6+ лет),1.0,5,1
1 км (14+ лет),1.0,5,1
1 км (16 и старше),1.0,5,1
1 км (18+),1.0,5,1
Детский забег 1 км (10-17 лет),1.0,5,1
1 км,1.3,5,1
3 км (12-15 лет),3.0,6,3
3 км от 16 лет,3.0,6,1
"4 км ""Северная ходьба"" (16+)",4.0,7,2
5км,5.0,8,1
ПСБ 5 км,5.0,8,1
ПСБ 5  км ( с 14 лет),5.0,8,1
"""ПСБ 5 км""",5.0,8,1
5 км  (16+),5.0,8,1
ПСБ 5км бег,5.0,8,1
Северная ходьба 5 км,5.0,8,2
ПСБ 5 км (16+ лет),5.0,8,1
5 км,5.0,8,1
ПСБ 5 км (16+),5.0,8,1
5км ходьба,5.0,8,2
СХ5км,5.0,8,2
10км,9.9,9,1
10 км.,10.0,9,1
10км,10.0,9,1
10 км (18+),10.0,9,1
10  км (с 16 лет),10.0,9,1
10 км,10.0,9,1
СХ10км,10.0,9,2
10 км (18+ лет),10.0,9,1
Любители (18+),10.0,9,1
"21,1км",21.0,10,1
"21,1 км",21.0,10,1
21 км.,21.0,10,1
21.1 км,21.0,10,1
Эстафета,21.0,10,4
21.1 км (18+),21.0,10,1
21 км (18+ лет),21.0,10,1
21 км (Полумарафон),21.0,10,1
Эстафета 21 км,21.1,10,4
"21,1 км (18+ лет)",21.1,10,1
21 км (с 18 лет),21.1,10,1
Полумарафон (18+),21.1,10,1
"21,1км корпоративные команды",21.1,10,5
"21,1км",21.1,10,1
21км,21.1,10,1
21.1 км,21.1,10,1
"21,1 км",21.1,10,1
